"日期","收市","開市","高","低","成交量","更改%"
"2013年9月29日","125.2","125.2","125.2","125.2","-","0.34%"
"2013年9月28日","124.8","124.8","124.8","124.8","-","1.01%"
"2013年9月27日","123.5","123.5","123.5","123.5","-","0.00%"
"2013年9月26日","123.5","123.5","123.5","123.5","-","0.05%"
"2013年9月25日","123.4","123.4","123.4","123.4","-","0.72%"
"2013年9月24日","122.5","122.5","122.5","122.5","-","0.26%"
"2013年9月23日","122.2","122.2","122.2","122.2","-","-0.35%"
"2013年9月22日","122.7","122.7","122.7","122.7","-","0.00%"
"2013年9月21日","122.6","122.6","122.6","122.6","-","-0.21%"
"2013年9月20日","122.9","122.9","122.9","122.9","-","-1.04%"
"2013年9月19日","124.2","124.2","124.2","124.2","-","-1.67%"
"2013年9月18日","126.3","126.3","126.3","126.3","-","0.26%"
"2013年9月17日","126.0","126.0","126.0","126.0","-","0.73%"
"2013年9月16日","125.1","125.1","125.1","125.1","-","0.39%"
"2013年9月15日","124.6","124.6","124.6","124.6","-","0.40%"
"2013年9月14日","124.1","124.1","124.1","124.1","-","-1.92%"
"2013年9月13日","126.5","126.5","126.5","126.5","-","0.60%"
"2013年9月12日","125.8","125.8","125.8","125.8","-","0.25%"
"2013年9月11日","125.4","125.4","125.4","125.4","-","3.29%"
"2013年9月10日","121.5","121.5","121.5","121.5","-","1.20%"
"2013年9月9日","120.0","120.0","120.0","120.0","-","2.94%"
"2013年9月8日","116.6","116.6","116.6","116.6","-","-2.07%"
"2013年9月7日","119.1","119.1","119.1","119.1","-","2.35%"
"2013年9月6日","116.3","116.3","116.3","116.3","-","-3.49%"
"2013年9月5日","120.5","120.5","120.5","120.5","-","0.00%"
"2013年9月4日","120.6","120.6","120.6","120.6","-","-5.50%"
"2013年9月3日","127.6","127.6","127.6","127.6","-","0.18%"
"2013年9月2日","127.4","127.4","127.4","127.4","-","-0.70%"
"2013年9月1日","128.3","128.3","128.3","128.3","-","-0.93%"
"2013年8月31日","129.5","129.5","129.5","129.5","-","5.06%"
"2013年8月30日","123.2","123.2","123.2","123.2","-","4.86%"
"2013年8月29日","117.5","117.5","117.5","117.5","-","-0.06%"
"2013年8月28日","117.6","117.6","117.6","117.6","-","0.12%"
"2013年8月27日","117.4","117.4","117.4","117.4","-","4.65%"
"2013年8月26日","112.2","112.2","112.2","112.2","-","0.39%"
"2013年8月25日","111.8","111.8","111.8","111.8","-","2.85%"
"2013年8月24日","108.7","108.7","108.7","108.7","-","1.06%"
"2013年8月23日","107.6","107.6","107.6","107.6","-","-1.99%"
"2013年8月22日","109.7","109.7","109.7","109.7","-","-1.53%"
"2013年8月21日","111.4","111.4","111.4","111.4","-","6.12%"
"2013年8月20日","105.0","105.0","105.0","105.0","-","2.65%"
"2013年8月19日","102.3","102.3","102.3","102.3","-","3.50%"
"2013年8月18日","98.8","98.8","98.8","98.8","-","-0.72%"
"2013年8月17日","99.6","99.6","99.6","99.6","-","1.25%"
"2013年8月16日","98.3","98.3","98.3","98.3","-","0.81%"
"2013年8月15日","97.5","97.5","97.5","97.5","-","-0.43%"
"2013年8月14日","98.0","98.0","98.0","98.0","-","0.06%"
"2013年8月13日","97.9","97.9","97.9","97.9","-","2.97%"
"2013年8月12日","95.1","95.1","95.1","95.1","-","0.98%"
"2013年8月11日","94.2","94.2","94.2","94.2","-","0.93%"
"2013年8月10日","93.3","93.3","93.3","93.3","-","-0.07%"
"2013年8月9日","93.4","93.4","93.4","93.4","-","-1.49%"
"2013年8月8日","94.8","94.8","94.8","94.8","-","-2.22%"
"2013年8月7日","96.9","96.9","96.9","96.9","-","-0.22%"
"2013年8月6日","97.1","97.1","97.1","97.1","-","0.22%"
"2013年8月5日","96.9","96.9","96.9","96.9","-","0.33%"
"2013年8月4日","96.6","96.6","96.6","96.6","-","-0.06%"
"2013年8月3日","96.7","96.7","96.7","96.7","-","-0.60%"
"2013年8月2日","97.2","97.2","97.2","97.2","-","0.85%"
"2013年8月1日","96.4","96.4","96.4","96.4","-","-1.52%"
"2013年7月31日","97.9","97.9","97.9","97.9","-","1.66%"
"2013年7月30日","96.3","96.3","96.3","96.3","-","3.23%"
"2013年7月29日","93.3","93.3","93.3","93.3","-","1.30%"
"2013年7月28日","92.1","92.1","92.1","92.1","-","3.37%"
"2013年7月27日","89.1","89.1","89.1","89.1","-","-1.69%"
"2013年7月26日","90.6","90.6","90.6","90.6","-","1.36%"
"2013年7月25日","89.4","89.4","89.4","89.4","-","2.23%"
"2013年7月24日","87.5","87.5","87.5","87.5","-","0.60%"
"2013年7月23日","86.9","86.9","86.9","86.9","-","0.99%"
"2013年7月22日","86.1","86.1","86.1","86.1","-","0.73%"
"2013年7月21日","85.5","85.5","85.5","85.5","-","-0.23%"
"2013年7月20日","85.7","85.7","85.7","85.7","-","-0.13%"
"2013年7月19日","85.8","85.8","85.8","85.8","-","0.41%"
"2013年7月18日","85.4","85.4","85.4","85.4","-","-5.64%"
"2013年7月17日","90.5","90.5","90.5","90.5","-","-2.37%"
"2013年7月16日","92.7","92.7","92.7","92.7","-","-0.43%"
